Job1,Job2,Sector1,Sector2,NSQF1,NSQF2,similarity_score
Ice Cream Processing Technician,Basic Program on Traditional Hand Embroidery,Food Processing,Handicrafts and Carpet,4,4,0.40111214
Introduction to Electric Vehicle,Food Products Packaging Technician,Automotive,Food Processing,4,4,0.4010655
Food Products Packaging Technician,GHG Accounting and Sustainability Reporting,Food Processing,Green Jobs,4,6,0.4010655
Automotive Quality Control Assistant,GHG Accounting and Sustainability Reporting,Automotive,Green Jobs,3,6,0.40104753
Automotive Quality Control Assistant,Introduction to Electric Vehicle,Automotive,Automotive,3,4,0.40104753
Ceramics and Terracotta Toy Maker - Artisan,Banquet Manager (Operation),Handicrafts and Carpet,Tourism & Hospitality,4,7,0.40101635
GHG Accounting and Sustainability Reporting,Kitchen Helper,Green Jobs,Tourism & Hospitality,6,2,0.40100545
Introduction to Electric Vehicle,Kitchen Helper,Automotive,Tourism & Hospitality,4,2,0.40100545
Solar Photovoltaic Site Survey Assistant,Knitting Machine Operator Circular Knitting,Green Jobs,Textile,3.5,3,0.40100408
Basic sculptor and stone artist (Moortikar),Food & Beverage Service Manager,Handicrafts and Carpet,Tourism & Hospitality,2.5,7,0.4009817
Basic Program on Traditional Hand Embroidery,HEMM  Mechanic,Handicrafts and Carpet,Mining,4,4,0.4009802
Bio-Energy Micro Entrepreneur,Knitting Machine Operator Circular Knitting,Green Jobs,Textile,4,3,0.40095666
Industrial Control,Duty Manager,Automotive,Tourism & Hospitality,4.5,5,0.4009349
GHG Accounting and Sustainability Reporting,Multi-Purpose Associate,Green Jobs,Tourism & Hospitality,6,4,0.4009344
Introduction to Electric Vehicle,Multi-Purpose Associate,Automotive,Tourism & Hospitality,4,4,0.4009344
Solar PV Engineer (Option: Solar Water Pumping System),Assistant Rafting Guide,Green Jobs,Tourism & Hospitality,5,4,0.40093306
Plastic Recycling Operator,Home Stay Host,Green Jobs,Tourism & Hospitality,3,5,0.4009173
Taxi Driver,GHG Accounting and Sustainability Reporting,Automotive,Green Jobs,3,6,0.400908
Taxi Driver,Introduction to Electric Vehicle,Automotive,Automotive,3,4,0.400908
Advanced Program on Hand Block Printing,Counter Sales Executive (Tourism and Hospitality),Handicrafts and Carpet,Tourism & Hospitality,4,4,0.40083027
Solar PV Designer,Revenue Manager,Green Jobs,Tourism & Hospitality,7,5.5,0.40082434
Solar PV Designer,Front Office Trainee,Green Jobs,Tourism & Hospitality,7,3,0.40081725
Handcrafted Candle Maker,Bulldozer  Operator,Handicrafts and Carpet,Mining,3,4,0.40077025
Solar Domestic Product Assembler,Waste Picker,Green Jobs,Green Jobs,2.5,3,0.4007126
Desludging Operator,Handloom Entrepreneur,Green Jobs,Textile,3,5,0.40068465
Basic Program on Traditional Hand Embroidery,"Assistant Fitter - Levelling, Alignment and Balancing",Handicrafts and Carpet,Iron and Steel,4,3,0.40067434
Green Hydrogen Plant Junior Technician- Storage,Winding  Operator,Green Jobs,Mining,3,4,0.4006666
Fitter - Shuttleless Weaving Machine: Projectile,Shuttleless Loom Operator,Textile,Textile,4,3,0.4005934
Jute Carding Operator,Shuttleless Loom Operator,Textile,Textile,2,3,0.4005934
Jute Selector cum Assorter,Shuttleless Loom Operator,Textile,Textile,2,3,0.4005934
Ring Frame Tenter,Shuttleless Loom Operator,Textile,Textile,3,3,0.4005934
Jute spinning Sardar (Jobber) cum Jr. Supervisor,Shuttleless Loom Operator,Textile,Textile,4,3,0.4005934
Knotting Machine Operator,Shuttleless Loom Operator,Textile,Textile,3,3,0.4005934
Combing Preparatory Operator,Shuttleless Loom Operator,Textile,Textile,3,3,0.4005934
Twister cum Doubler - Handloom,Shuttleless Loom Operator,Textile,Textile,2,3,0.4005934
Fabric Mender - Textiles,Shuttleless Loom Operator,Textile,Textile,3,3,0.4005934
Shuttleless Loom Operator,Size Mixer,Textile,Textile,3,3,0.4005934
Fitter  Weaving Preparatory,Shuttleless Loom Operator,Textile,Textile,4,3,0.4005934
Fitter Helper - Weaving,Shuttleless Loom Operator,Textile,Textile,2,3,0.4005934
Assistant Cotton Grader (Ginning),Shuttleless Loom Operator,Textile,Textile,2,3,0.4005934
Shuttleless Loom Operator,Sizing Machine Operator,Textile,Textile,3,3,0.4005934
Hand Spinning Operator,Shuttleless Loom Operator,Textile,Textile,3,3,0.4005934
Ginning Helper,Shuttleless Loom Operator,Textile,Textile,1,3,0.4005934
Tape Winder,Shuttleless Loom Operator,Textile,Textile,3,3,0.4005934
Assistant Ginning Fitter,Shuttleless Loom Operator,Textile,Textile,2,3,0.4005934
Blowroom Operator,Shuttleless Loom Operator,Textile,Textile,3,3,0.4005934
Kalamkari Artisan,Shuttleless Loom Operator,Textile,Textile,2,3,0.4005934
Cone Winding Operator - Manual & Assembly Winding,Shuttleless Loom Operator,Textile,Textile,3,3,0.4005934
Jacquard Harness Builder,Shuttleless Loom Operator,Textile,Textile,2,3,0.4005934
Ring Frame Doffer,Shuttleless Loom Operator,Textile,Textile,3,3,0.4005934
Knitting Machine Operator Flat Bed Knitting,Shuttleless Loom Operator,Textile,Textile,3,3,0.4005934
Jute Weft Winding Operator,Shuttleless Loom Operator,Textile,Textile,2,3,0.4005934
Circular loom operator (Shuttle type),Shuttleless Loom Operator,Textile,Textile,3,3,0.4005934
Pirn Winding Machine Operator,Shuttleless Loom Operator,Textile,Textile,3,3,0.4005934
Card Puncher (Automatic Machine),Shuttleless Loom Operator,Textile,Textile,3,3,0.4005934
Jute Beaming Operator,Shuttleless Loom Operator,Textile,Textile,2,3,0.4005934
Fabric Checker - Textiles,Shuttleless Loom Operator,Textile,Textile,3,3,0.4005934
Hand Knitting Machine Operator,Shuttleless Loom Operator,Textile,Textile,2,3,0.4005934
Tape Plant Operator,Shuttleless Loom Operator,Textile,Textile,3,3,0.4005934
Knitting Machine Operator Warp Knitting,Shuttleless Loom Operator,Textile,Textile,3,3,0.4005934
Ikkat Artisan,Shuttleless Loom Operator,Textile,Textile,2,3,0.4005934
Solar PV Engineer (Option: Solar Water Pumping System),Traditional Hand Embroiderer- Supervisor,Green Jobs,Handicrafts and Carpet,5,5,0.40058142
Basic Program on Traditional Hand Embroidery,Operator - Mobile Equipment,Handicrafts and Carpet,Iron and Steel,4,3,0.40054518
Plastic Recycling Micro Entrepreneur,Walk Tour Facilitator,Green Jobs,Tourism & Hospitality,4,4,0.4004912
Solar EV Charging Entrepreneur,Rafting Guide/Safety Kayaker,Green Jobs,Tourism & Hospitality,4,5,0.40048444
Squash and Juice Processing Technician,Ski Instructor,Food Processing,Tourism & Hospitality,3,6,0.40048325
Industrial Control,Coir Weaver,Automotive,Handicrafts and Carpet,4.5,2.5,0.40046266
Junior Technician - Mechanized Sewer Cleaning,Advanced Program on Traditional Hand Embroidery,Green Jobs,Handicrafts and Carpet,3,4,0.4004413
Solar Photovoltaic Site Survey Assistant,Fitter - Shuttleless Weaving Machine: Air-Jet,Green Jobs,Textile,3.5,4,0.4004134
Industrial Control,CAD Designer for Carpets,Automotive,Handicrafts and Carpet,4.5,4,0.40040198
Leaf Utility Products Artisan,Ski Instructor,Handicrafts and Carpet,Tourism & Hospitality,2,6,0.40036088
Basic Program on Traditional Hand Embroidery,Kitchen Stewarding Supervisor,Handicrafts and Carpet,Tourism & Hospitality,4,5,0.40035933
Green Hydrogen Plant Junior Technician- Storage,Recyclable Waste Collector & Segregator,Green Jobs,Green Jobs,3,4,0.4003581
Automotive Machining Trainer,Basic Program on Traditional Hand Embroidery,Automotive,Handicrafts and Carpet,4.5,4,0.40034482
Solar Photovoltaic Site Survey Assistant,Food & Beverage Service - Associate,Green Jobs,Tourism & Hospitality,3.5,4,0.40031964
Loin Loom Weaver,Transport Duty Manager,Textile,Tourism & Hospitality,3,6,0.40028802
GHG Accounting and Sustainability Reporting,Guest Service Associate- Food & Beverage Service,Green Jobs,Tourism & Hospitality,6,4,0.40027162
Introduction to Electric Vehicle,Guest Service Associate- Food & Beverage Service,Automotive,Tourism & Hospitality,4,4,0.40027162
Welding,HouseKeeping Manager,Automotive,Tourism & Hospitality,4.5,5.5,0.40025547
Introduction to Electric Vehicle,Bale Press Operator,Automotive,Textile,4,2,0.4002466
GHG Accounting and Sustainability Reporting,Bale Press Operator,Green Jobs,Textile,6,2,0.4002466
Solar Domestic Product Assembler,Food Delivery Associate,Green Jobs,Tourism & Hospitality,2.5,3,0.40024486
Automotive Automation and Robotics Engineer,Basic Program on Traditional Hand Embroidery,Automotive,Handicrafts and Carpet,5,4,0.40022945
